,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
258,Rare Planet,Kolkata,Reatil startup,Venture Catalysts,,Pre-series A,2020
259,Avataa Me,Bangalore,AR platform,Sequoia Capital India,7000000.0,Series A,2020
263,MikeLegal,Gurugram,LegalTech,"SOSV, Artesian",,Seed,2020
266,Miko,Mumbai,AI startup,"Stride Ventures, YourNest Venture Capital",3000000.0,Pre-series B,2020
267,Razorpay,Bangalore,FinTech,"Tiger Global Management, Sequoia Capital India",100000000.0,Series D,2020
268,Ninjacart,Bangalore,Food Industry,"Syngenta Ventures, Walmart",30000000.0,,2020
269,Wow! Momo,Kolkata,Food Industry,"Tiger Global Management, William Bissell",5000000.0,Debt,2020
270,Pepper Content,Mumbai,Content marketplace,"Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020
271,LIVSPACE,Bangalore,Interior Design,"Mercer Investments, Bessemer Venture Partners",4000000.0,Debt,2020
272,Acculi Labs,Bangalore,Healthcare,Startup Basket.,600000.0,Seed,2020
275,Unnati,Noida,AgriTech,NABVENTURES,1700000.0,Pre-series A,2020
276,Disprz,Chennai,Edtech,"Xseed Partners, InnoVen Capital",1600000.0,Pre-series B,2020
277,Uni,Mumbai,FinTech,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020
278,Credit Wise Capital,Mumbai,FinTech,Venture Catalysts,6000000.0,Seed,2020
280,Reliance Retail Ventures Ltd,Mumbai,Retail,"Silver Lake, Mubadala Investment Company",70000000000.0,,2020
281,Winuall,Bangalore,Edtech,"Amit Lakhotia, Akash Gehani",2000000.0,,2020
282,Genrobotics,Trivandrum,AI startup,Unicorn India Ventures,300000.0,,2020
283,Livve,Cochin,Rental space,,1500000.0,Seed,2020
284,Ergos,Samastipur,AgriTech,"Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020
285,Krishitantra,Hyderabad,Soil-Tech,"NABVENTURES, Omnivore",1000000.0,Seed,2020
286,PakkaProfile,Bangalore,Recruitment startup,Java Capital,,Seed,2020
288,Unocoin,Tumkur,FinTech,"Digital Finance Group, FundersClub",,Series A,2020
289,Pesto,Delhi,Edtech,"Sriharsha Majety, Rahul Jaimini",,,2020
290,NirogStreet,Gurugram,Ayurveda tech,"Wavemaker Partners, Subho Ray",2000000.0,Pre-series A,2020
291,Bambrew,Bangalore,Packaging solution startup,Upsparks,,Pre-seed,2020
293,Fanball XI,Delhi,Gaming,Foxhog Ventures,1000000.0,Seed,2020
294,Treebo Hotels,Bangalore,Hospitality,"Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,,2020
295,GPS Renewables,Bangalore,Cleantech,"Triodos, Caspian",3000000.0,Series A,2020
